Linux 6.8.0-138-generic (pgain-nuc) 	08/30/26 	_x86_64_	(4 CPU)

00:32:34     LINUX RESTART	(4 CPU)

00:40:05     pswpin/s pswpout/s
00:50:05         0.00      0.00
01:00:05         0.00      0.00
01:10:05         0.00      0.00
01:20:05         0.00      0.00
01:30:05         0.00      0.00
01:40:05         0.00      0.00
01:50:05         0.00      0.00
02:00:05         0.00      0.00
02:10:05         0.00      0.00
02:20:03         0.00      0.00
02:30:05         0.00      0.00
02:40:03         0.00      0.00
02:50:01         0.00      0.00
03:00:05         0.00      0.00
03:10:01         0.00      0.00
03:20:05         0.00      0.00
03:30:00         0.00      0.00
03:40:05         0.00      0.00
03:50:05         0.00      0.00
04:00:05         0.00      0.00
04:10:00         0.00      0.00
04:20:05         0.00      0.00
04:30:05         0.00      0.00
04:40:05         0.00      0.00
04:50:05         0.00      0.00
05:00:05         0.00      0.00
05:10:05         0.00      0.00
05:20:05         0.00      0.00
05:30:05         0.00      0.00
05:40:05         0.00      0.00
05:50:00         0.00      0.00
06:00:05         0.00      0.00
06:10:00         0.00      0.00
06:20:05         0.00      0.00
06:30:05         0.00      0.00
06:40:05         0.00      0.00
06:50:05         0.00      0.00
07:00:05         0.00      0.00
07:10:05         0.00      0.00
07:20:05         0.00      0.00
07:30:05         0.00      0.00
07:40:05         0.00      0.00
07:50:05         0.00      0.00
08:00:05         0.00      0.00
08:10:05         0.00      0.00
08:20:05         0.00      0.00
08:30:03         0.00      0.00
08:40:05         0.00      0.00
08:50:05         0.00      0.00
09:00:00         0.00      0.00
09:10:04         0.00      0.00
09:20:05         0.00      0.00
09:30:05         0.00      0.00
09:40:05         0.00      0.00
09:50:05         0.00      0.00
10:00:03         0.00      0.00
10:10:03         0.00      0.00
10:20:05         0.00      0.00
10:30:05         0.00      0.00
10:40:05         0.00      0.00
10:50:03         0.00      0.00
11:00:05         0.00      0.00
11:10:05         0.00      0.00
11:20:05         0.00      0.00
11:30:03         0.00      0.00
11:40:05         0.00      0.00
11:50:05         0.00      0.00
12:00:05         0.00      0.00
12:10:03         0.00      0.00
12:20:05         0.00      0.00
12:30:03         0.00      0.00
12:40:05         0.00      0.00
12:50:05         0.00      0.00
13:00:05         0.00      0.00
13:10:03         0.00      0.00
13:20:05         0.00      0.00
13:30:05         0.00      0.00
13:40:05         0.00      0.00
13:50:03         0.00      0.00
14:00:05         0.00      0.00
14:10:01         0.00      0.00
14:20:05         0.00      0.00
14:30:03         0.00      0.00
14:40:05         0.00      0.00
14:50:05         0.00      0.00
15:00:05         0.00      0.00
15:10:03         0.09      2.78
15:20:00         0.00      0.00
15:30:05         0.00      0.00
15:40:05         0.00      0.00
15:50:05         0.00      0.00
16:00:05         0.00      0.00
16:10:03         0.00      0.00
16:20:05         0.00      0.00
16:30:05         0.00      0.00
16:40:03         0.00      0.00
16:50:03         0.00      0.00
17:00:05         0.03      0.00
17:10:05         0.00      0.00
17:20:05         0.00      0.00
17:30:03         0.00      0.00
17:40:05         0.00      0.00
17:50:05         0.00      0.00
18:00:05         0.00      0.00
18:10:05         0.00      0.00
18:20:05         0.00      0.00
18:30:05         0.00      0.00
18:40:02         0.00      0.00
18:50:05         0.00      0.00
19:00:05         0.00      0.00
19:10:05         0.00      0.00
19:20:05         0.00      0.00
19:30:05         0.00      0.00
19:40:05         0.00      0.00
19:50:05         0.00      0.00
20:00:05         0.00      0.00
20:10:05         0.00      0.00
20:20:05         0.00      0.00
20:30:05         0.00      0.00
20:40:05         0.00      0.00
20:50:05         0.00      0.00
21:00:05         0.00      0.00
21:10:05         0.00      0.00
21:20:05         0.00      0.00
21:30:05         0.00      0.00
21:40:05         0.00      0.00
21:50:05         0.00      0.00
22:00:05         0.00      0.00
22:10:05         0.00      0.00
22:20:05         0.00      0.00
22:30:05         0.00      0.00
22:40:05         0.00      0.00
22:50:05         0.00      0.00
23:00:05         0.00      0.00
23:10:05         0.00      0.00
23:20:05         0.00      0.00
23:30:05         0.00      0.00
23:40:05         0.00      0.00
23:50:05         0.00      0.00
Average:         0.00      0.02
